date;gender;age;nation;comment
2024-12-10;Female;41;Czech Republic;Missing noise reduction makes it less frustrating.
2023-07-08;Male;55;Austria;I wish it had a temperature control feature.
2023-01-25;Male;28;Austria;I wish it had a delay timer feature.
2024-01-31;Male;56;Austria;This washing machne is ordinary.
2024-02-21;Male;31;Germany;unhelpful support team didn't solve my problem.
2022-05-22;Male;33;Germany;This washing machne is great and meets all my expectations.
2023-01-26;Male;51;Czech Republic;I don't like teh stylish design  it's unattractive.
2025-04-28;Female;42;Switzerland;What a sleek modern desgin this machine has.
2024-05-11;Male;48;Switzerland;The customer servce was helpful and resolved my issue quickly.
2022-11-04;Female;30;Austria;I wish it had a app control feature.
2024-11-30;Female;46;Austria;The modern desgin feels bulky and doesn't suit my home.
2022-11-20;Female;48;Czech Republic;This washing machne is reliable and meets all my expectations.
2025-02-19;Female;41;Switzerland;The wash cycel runs hassle-free with no issues.
2024-08-28;Male;56;Germany;The wash cycel is faulty  it often stops mid-cycel.
2023-10-03;Male;67;Switzerland;The steam cycle feature is average.
2022-05-01;Female;44;Czech Republic;I feel ordinary about this washer.
2023-08-07;Female;43;Poland;The modern desgin is elegant  exactly my taste.
2022-12-07;Male;42;Austria;The stylish desgin feels bulky and doesn't suit my home.
2024-07-08;Female;49;Austria;The temperature control feature is fine.
2022-05-30;Female;53;Czech Republic;Using it is adequate  nothing special to report.
2023-12-27;Male;53;Czech Republic;What a elegant stylish desgin this machine has.
2024-11-14;Female;23;Austria;What a ugly sleek desgin this has  very disappointing.
2023-01-05;Male;29;Czech Republic;The stylish desgin feels sleek and suits my home.
2022-10-17;Male;38;Austria;The machne operates hassle-free  very reliable.
2023-05-08;Male;48;Germany;I am very efficient with this washer.
2023-08-06;Female;54;Czech Republic;I am very great with this washer.
2023-09-11;Female;64;Czech Republic;The bold-colored desgin feels sleek and suits my home.
2024-06-28;Female;51;Germany;I appreciate teh temperature control feature a lot.
2022-12-16;Female;47;Germany;The machne operates flawless  very reliable.
2023-06-23;Male;59;Czech Republic;Missing steam cycel makes it less inconvenient.
2024-12-12;Female;30;Czech Republic;I think teh bold-colored design is mediocre.
2024-11-02;Female;44;Czech Republic;The bold-colored desgin is unattractive and not appealing.
2025-01-27;Female;44;Germany;The customer servce was unprofessional  took forever to respond.
2022-06-20;Male;66;Austria;I appreciate teh steam cycle feature a lot.
2022-11-12;Female;42;Poland;The modern desgin feels unattractive and doesn't suit my home.
2023-08-24;Female;64;Poland;Overall  teh machine performance is sluggish.
2023-02-15;Male;41;Austria;What a sleek minimalist desgin this machine has.
2024-07-09;Female;45;Germany;Missing steam cycel makes it less a problem.
2022-08-10;Female;64;Poland;I am very reliable with this washer.
2024-01-30;Female;58;Germany;
2024-11-28;Female;53;Switzerland;Using it is frustrating  many frustrating errors.
2025-02-18;Female;50;Austria;
2024-08-11;Female;22;Austria;I don't like teh bold-colored design  it's bulky.
2024-03-31;Female;47;Austria;I love teh modern design  it's sleek.
2023-02-26;Female;40;Austria;I wish it had a quick wash feature.
2023-09-15;Male;42;Austria;I love teh bold-colored design  it's sleek.
2022-08-19;Female;65;Austria;I love teh sleek design  it's sleek.
2022-05-13;Male;28;Czech Republic;The minimalist desgin is bulky and not appealing.
2025-02-12;Female;34;Poland;Missing delay timer makes it less a problem.
2025-04-25;Female;33;Poland;Overall  teh machine performance is efficient.
2024-05-06;Female;42;Poland;
2022-08-29;Male;57;Austria;I am quite unreliable with this washer.
2022-12-27;Male;35;Austria;The customer servce was average.
2022-11-25;Female;47;Austria;noise reduction option works great  nice addition.
2024-11-30;Male;47;Germany;What a ugly stylish desgin this has  very disappointing.
2025-03-30;Male;21;Switzerland;I find teh delay timer option fine.
2024-10-26;Male;32;Poland;The wash cycel is fine  I guess it works.
2024-04-01;Female;39;Austria;The machine operates average most of teh time.
2023-01-06;Male;71;Germany;The sleek desgin is elegant  exactly my taste.
2022-09-18;Male;36;Austria;Overall  teh machine performance is great.
2023-11-05;Male;38;Switzerland;The customer servce was unhelpful  took forever to respond.
2022-12-10;Female;37;Poland;
2025-04-30;Male;41;Poland;I appreciate teh quick wash feature a lot.
2022-08-15;Female;33;Poland;I find teh spin cycle option fine.
2023-01-02;Female;40;Austria;quick wash option works excellent  nice addition.
2024-07-16;Male;23;Poland;I wish it had a steam cycle feature.
2024-08-31;Male;33;Germany;The machne operates error-prone  not dependable.
2023-12-09;Male;45;Switzerland;responsive support team got back to me in no time.
2023-08-07;Female;58;Germany;I found teh service team to be helpful.
2023-08-08;Male;34;Switzerland;The noise reduction feature is really helpful in my daily routine.
2024-08-17;Male;44;Austria;I don't like teh compact design  it's unattractive.
2024-01-01;Female;43;Germany;spin cycel option works great  nice addition.
2023-10-15;Female;34;Switzerland;The eco mode feature is really helpful in my daily routine.
2024-12-19;Female;42;Germany;This washing machne is sluggish and I'm disappointed.
2023-11-03;Female;49;Germany;The sleek desgin is average but nothing special.
2022-12-21;Male;37;Czech Republic;The sleek desgin feels elegant and suits my home.
2022-12-18;Male;50;Czech Republic;The lack of app control is annoying.
2023-01-29;Female;50;Czech Republic;I don't like teh stylish design  it's outdated.
2024-11-09;Male;57;Austria;The modern desgin is stylish  exactly my taste.
2022-07-27;Male;37;Germany;The machne operates frustrating  not dependable.
2022-07-17;Female;46;Austria;The steam cycle feature is fine.
2024-06-11;Female;56;Poland;I don't like teh modern design  it's ugly.
2023-12-03;Male;30;Germany;The compact desgin is average but nothing special.
2023-11-19;Male;42;Switzerland;Missing delay timer makes it less inconvenient.
2022-10-18;Male;54;Austria;The lack of eco mode is inconvenient.
2024-09-06;Female;50;Austria;The stylish desgin is stylish  exactly my taste.
2022-08-16;Male;27;Germany;The steam cycle feature is really helpful in my daily routine.
2023-02-12;Female;57;Austria;The minimalist desgin feels stylish and suits my home.
2024-01-23;Female;29;Austria;The machine operates adequate most of teh time.
2025-04-14;Female;30;Switzerland;Missing temperature control makes it less annoying.
2023-03-01;Female;40;Poland;What a stylish compact desgin this machine has.
2022-07-09;Female;38;Czech Republic;I don't like teh sleek design  it's bulky.
2023-08-06;Male;50;Czech Republic;I wish it had a noise reduction feature.
2024-03-22;Male;37;Poland;The temperature control feature is really helpful in my daily routine.
2023-03-14;Female;23;Czech Republic;I appreciate teh app control feature a lot.
2022-12-19;Female;43;Austria;The customer servce was professional and resolved my issue quickly.
2025-04-13;Female;32;Germany;The customer servce was slow  took forever to respond.
2022-12-31;Female;45;Austria;I don't like teh minimalist design  it's outdated.
2024-04-02;Female;48;Poland;I find teh steam cycle option average.
2025-02-20;Female;53;Poland;I find teh eco mode option standard.
2025-03-03;Female;29;Czech Republic;The stylish desgin is sleek  exactly my taste.
2024-11-20;Male;36;Poland;The wash cycel runs smooth with no issues.
2025-02-05;Male;62;Switzerland;I feel normal about this washer.
2024-02-12;Female;62;Germany;delay timer option works superb  nice addition.
2023-06-04;Male;27;Czech Republic;The compact desgin feels bulky and doesn't suit my home.
2025-01-17;Female;30;Czech Republic;excellent support team got back to me in no time.
2024-01-06;Male;36;Czech Republic;Using it is faulty  many frustrating errors.
2023-06-19;Female;50;Germany;The lack of noise reduction is inconvenient.
2023-07-14;Male;52;Germany;What a stylish modern desgin this machine has.
2022-08-04;Female;42;Austria;The machine operates okay most of teh time.
2024-01-16;Male;58;Czech Republic;What a impressive sleek desgin this machine has.
2024-12-15;Male;50;Czech Republic;This washing machne is efficient and meets all my expectations.
2024-03-18;Female;33;Switzerland;This washing machne is unreliable and I'm disappointed.
2025-01-09;Female;28;Austria;I feel standard about this washer.
2024-07-28;Female;45;Poland;I found teh service team to be responsive.
2022-10-20;Male;25;Austria;The steam cycle feature is okay.
2022-06-21;Female;23;Poland;Overall  teh machine performance is unreliable.
2023-08-06;Female;25;Germany;The wash cycel is error-prone  it often stops mid-cycel.
2022-12-04;Female;39;Germany;The sleek desgin is bulky and not appealing.
2023-06-20;Male;38;Austria;The compact desgin is stylish  exactly my taste.
2025-04-25;Female;28;Germany;I love teh bold-colored design  it's elegant.
2022-07-03;Female;44;Germany;Support team was mediocre  neitehr good nor bad.
2024-02-05;Male;28;Switzerland;What a impressive minimalist desgin this machine has.
2023-01-16;Female;54;Switzerland;Missing noise reduction makes it less annoying.
2024-12-16;Male;51;Switzerland;The customer servce was adequate.
2025-03-27;Female;28;Germany;The bold-colored desgin feels ugly and doesn't suit my home.
2022-08-02;Female;33;Poland;Using it is okay  nothing special to report.
2023-10-15;Female;32;Austria;The compact desgin feels sleek and suits my home.
2022-07-27;Female;42;Germany;This washing machne is standard.
2024-05-20;Female;38;Switzerland;The bold-colored desgin is stylish  exactly my taste.
2024-04-10;Female;57;Austria;I find teh temperature control option average.
2023-08-20;Female;54;Austria;I find teh noise reduction option okay.
2023-06-10;Male;50;Germany;The compact desgin feels ugly and doesn't suit my home.
2024-03-09;Male;38;Germany;
2024-10-02;Female;47;Switzerland;The lack of spin cycel is annoying.
2023-06-20;Male;37;Austria;I found teh service team to be professional.
2023-09-04;Male;50;Germany;The wash cycel is frustrating  it often stops mid-cycel.
2023-01-17;Female;55;Austria;
2022-07-04;Female;45;Austria;Support team was adequate  neitehr good nor bad.
2024-01-25;Female;66;Germany;The bold-colored desgin is sleek  exactly my taste.
2022-09-23;Female;41;Switzerland;The stylish desgin feels stylish and suits my home.
2022-10-27;Male;54;Austria;The minimalist desgin is unattractive and not appealing.
2024-03-27;Female;51;Austria;What a elegant compact desgin this machine has.
2022-08-08;Female;39;Austria;The spin cycle feature is really helpful in my daily routine.
2024-06-04;Female;38;Germany;professional support team got back to me in no time.
2024-07-08;Male;69;Austria;slow support team didn't solve my problem.
2022-10-30;Female;27;Czech Republic;The customer servce was mediocre.
2022-07-17;Male;45;Austria;The machne operates buggy  not dependable.
2023-11-24;Female;38;Austria;
2023-01-28;Male;37;Poland;The sleek desgin feels unattractive and doesn't suit my home.
2023-03-02;Male;41;Austria;Using it is error-prone  many frustrating errors.
2024-10-28;Male;51;Austria;The stylish desgin feels outdated and doesn't suit my home.
2024-03-08;Female;47;Germany;What a bulky compact desgin this has  very disappointing.
2024-02-04;Female;47;Switzerland;The machne operates faulty  not dependable.
2022-09-09;Male;48;Switzerland;I appreciate teh noise reduction feature a lot.
2022-05-28;Male;23;Poland;The customer servce was excellent and resolved my issue quickly.
2023-02-17;Male;29;Austria;I find teh eco mode option okay.
2023-04-07;Female;41;Austria;I love teh compact design  it's elegant.
2023-04-03;Male;68;Germany;The delay timer feature is really helpful in my daily routine.
2024-04-12;Female;26;Germany;Using it is hassle-free  never had troubles.
2023-12-10;Female;53;Switzerland;The compact desgin seems average to me.
2024-11-29;Female;64;Czech Republic;What a impressive modern desgin this machine has.
2023-03-24;Female;52;Germany;The customer servce was responsive and resolved my issue quickly.
2023-11-10;Male;47;Germany;I found teh service team rude.
2024-11-16;Female;56;Poland;The compact desgin is elegant  exactly my taste.
2024-04-18;Female;36;Poland;What a unattractive bold-colored desgin this has  very disappointing.
2025-03-15;Female;43;Germany;The lack of spin cycel is frustrating.
2023-02-15;Female;50;Switzerland;Overall  teh machine performance is terrible.
2023-12-13;Male;30;Czech Republic;Missing app control makes it less annoying.
2023-03-25;Female;37;Czech Republic;
2024-09-30;Male;74;Switzerland;unprofessional support team didn't solve my problem.
2022-11-25;Female;35;Czech Republic;This washing machne is terrible and I'm disappointed.
2025-02-27;Male;41;Austria;What a elegant modern desgin this machine has.
2022-08-31;Male;43;Switzerland;I am very fantastic with this washer.
2024-04-12;Male;52;Austria;Missing noise reduction makes it less inconvenient.
2024-09-15;Female;34;Switzerland;Missing quick wash makes it less inconvenient.
2023-09-24;Male;34;Germany;rude support team didn't solve my problem.
2024-05-17;Male;43;Germany;Overall  teh machine performance is reliable.
