date;gender;age;nation;comment
2021-04-26;Male;37;Austria;The eco mode saves so much water and energy, making laundry days more sustainable. The eco mode saves so much water and energy, making laundry days more sustainable. I really enjoy the quick wash feature for those last minute clothing emergencies. I really enjoy the quick wash feature for those last minute clothing emergencies.
2020-08-23;Male;43;Germany;The delayed start option is super convenient for busy mornings. I really enjoy the quick wash feature for those last minute clothing emergencies. I really enjoy the quick wash feature for those last minute clothing emergencies. I really enjoy the quick wash feature for those last minute clothing emergencies. The delayed start option is super convenient for busy mornings. I really enjoy the quick wash feature for those last minute clothing emergencies. The delayed start option is super convenient for busy mornings.
2022-10-22;Male;20;Austria;Support team was adequate, neitehr exceptionally good nor bad. Support team was adequate, neitehr exceptionally good nor bad. Service response was average and lacked detailed explanations. Service response was average and lacked detailed explanations. Service response was average and lacked detailed explanations.
2024-03-14;Female;52;Poland;The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. The cycle presets are okay but sometimes I have to manually tweak tehm. The temperature control feature is fine but could use more granular settings. I find the delay timer feature adequate but not very intuitive.
2021-11-24;Male;55;Austria;Support team was adequate, neitehr exceptionally good nor bad. Support team was adequate, neitehr exceptionally good nor bad. The customer servce was okay but took some time to get back to me. Service response was average and lacked detailed explanations. Support team was adequate, neitehr exceptionally good nor bad. The customer servce was okay but took some time to get back to me.
2023-03-22;Male;74;Germany;Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price is standard but doesn't stand out as a bargain or a splurge. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle.
2019-12-24;Female;41;Austria;The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely. Missing the sanitize option is disappointing as I need it for baby clotehs. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. The absence of an app integration feature makes it inconvenient to control remotely.
2025-03-30;Female;48;Switzerland;I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. The washer is too expensive for the features it offers, feels overpriced. I regret paying such a high price when budget models perform similarly.
2023-06-23;Male;36;Austria;Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price seems average compared to otehr machines in the market. The price is standard but doesn't stand out as a bargain or a splurge. The price seems average compared to otehr machines in the market. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle.
2023-06-16;Female;45;Austria;The wash cycle works okay but nothing special to write home about. The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues. The wash cycle works okay but nothing special to write home about. It rinses fine but sometimes I still find detergent residue on my clotehs. I guess the performance is average as it gets the job done without issues.
2025-04-18;Female;50;Switzerland;I absolutely love the sleek design, it looks very modern and fits perfectly in my home. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. This washer's stylish appearance has definitely elevated my laundry room's aestehtics. This washer's stylish appearance has definitely elevated my laundry room's aestehtics. The minimalist look is impressive and makes the appliance feel premium.
2021-02-03;Female;33;Germany;The design feels outdated and does not appeal to me at all. This machne's color is dull and makes it look cheap. I find the bulky design quite unattractive and it clashes with my decor. The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all. This machne's color is dull and makes it look cheap. This machne's color is dull and makes it look cheap.
2020-08-06;Female;42;Austria;The customer servce was extremely responsive and resolved my issue within hours. Service team was accommodating and provided clear instructions to fix the problem. Service team was accommodating and provided clear instructions to fix the problem. The customer servce was extremely responsive and resolved my issue within hours. Service team was accommodating and provided clear instructions to fix the problem. Service team was accommodating and provided clear instructions to fix the problem.
2019-06-27;Female;18;Switzerland;The minimalist look is impressive and makes the appliance feel premium. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. The minimalist look is impressive and makes the appliance feel premium.
2021-12-10;Male;53;Germany;I guess the performance is average as it gets the job done without issues. It rinses fine but sometimes I still find detergent residue on my clotehs. I guess the performance is average as it gets the job done without issues. The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues. It rinses fine but sometimes I still find detergent residue on my clotehs. It rinses fine but sometimes I still find detergent residue on my clotehs.
2019-07-04;Female;71;Germany;The price is standard but doesn't stand out as a bargain or a splurge. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price seems average compared to otehr machines in the market. The price is standard but doesn't stand out as a bargain or a splurge.
2024-06-09;Male;51;Austria;The price is standard but doesn't stand out as a bargain or a splurge. The price seems average compared to otehr machines in the market. The price seems average compared to otehr machines in the market.
2024-06-24;Male;46;Switzerland;The spin cycle is noisy and shakes violently, which is very concerning. It leaks water frequently, making the laundry area a mess every time I run it. The spin cycle is noisy and shakes violently, which is very concerning. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule.
2023-02-26;Male;50;Germany;Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price seems average compared to otehr machines in the market. The price is standard but doesn't stand out as a bargain or a splurge. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price is standard but doesn't stand out as a bargain or a splurge.
2020-12-28;Female;45;Czech Republic;I had to call multiple times because the service team kept transferring me. The customer servce rep seemed uninterested and couldn't solve my issue. The customer servce rep seemed uninterested and couldn't solve my issue. The support servce was slow and unhelpful, I waited days for a response.
2024-12-23;Male;37;Poland;The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The spin cycle is noisy and shakes violently, which is very concerning. It leaks water frequently, making the laundry area a mess every time I run it. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule.
2022-10-18;Female;49;Germany;I had to call multiple times because the service team kept transferring me. The support servce was slow and unhelpful, I waited days for a response. The customer servce rep seemed uninterested and couldn't solve my issue.
2019-07-03;Male;41;Poland;I find the bulky design quite unattractive and it clashes with my decor. I find the bulky design quite unattractive and it clashes with my decor. I find the bulky design quite unattractive and it clashes with my decor. I find the bulky design quite unattractive and it clashes with my decor.
2024-09-22;Female;42;Switzerland;I feel the cost is justified given the premium features included. I feel the cost is justified given the premium features included. I feel the cost is justified given the premium features included. Considering the energy savings, the price point is quite attractive.
2020-08-06;Female;54;Austria;The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. It leaks water frequently, making the laundry area a mess every time I run it. It leaks water frequently, making the laundry area a mess every time I run it.
2020-09-15;Male;43;Austria;This washer's stylish appearance has definitely elevated my laundry room's aestehtics. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. The minimalist look is impressive and makes the appliance feel premium. This washer's stylish appearance has definitely elevated my laundry room's aestehtics. I absolutely love the sleek design, it looks very modern and fits perfectly in my home.
2020-01-10;Female;67;Czech Republic;The cycle presets are okay but sometimes I have to manually tweak tehm. I find the delay timer feature adequate but not very intuitive. The cycle presets are okay but sometimes I have to manually tweak tehm. The cycle presets are okay but sometimes I have to manually tweak tehm. The cycle presets are okay but sometimes I have to manually tweak tehm. The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings.
2019-07-11;Female;43;Austria;The design feels outdated and does not appeal to me at all. I find the bulky design quite unattractive and it clashes with my decor. I find the bulky design quite unattractive and it clashes with my decor. This machne's color is dull and makes it look cheap. The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all.
2020-04-04;Female;28;Austria;The customer servce was extremely responsive and resolved my issue within hours. I got a helpful reply from the support team quickly, very professional. Service team was accommodating and provided clear instructions to fix the problem. I got a helpful reply from the support team quickly, very professional.
2023-08-16;Male;48;Switzerland;Missing the sanitize option is disappointing as I need it for baby clotehs. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. Missing the sanitize option is disappointing as I need it for baby clotehs. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity.
2025-01-13;Female;29;Czech Republic;
2022-04-18;Female;61;Austria;Service response was average and lacked detailed explanations. The customer servce was okay but took some time to get back to me. Support team was adequate, neitehr exceptionally good nor bad.
2022-06-02;Female;59;Germany;It handles large loads effortlessly while still delivering spotless results. I appreciate how quietly this machne operates during a full load. The wash and spin cycles run smoothly with no vibration and clean clotehs thoroughly. It handles large loads effortlessly while still delivering spotless results. The wash and spin cycles run smoothly with no vibration and clean clotehs thoroughly. I appreciate how quietly this machne operates during a full load.
2024-12-01;Female;52;Germany;I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely.
2021-03-09;Male;52;Austria;I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. The cost doesn't match the quality, I expected more at this price.
2023-10-18;Female;39;Germany;The customer servce was okay but took some time to get back to me. Support team was adequate, neitehr exceptionally good nor bad. Support team was adequate, neitehr exceptionally good nor bad.
2023-03-27;Male;39;Austria;I got a helpful reply from the support team quickly, very professional. I got a helpful reply from the support team quickly, very professional. Service team was accommodating and provided clear instructions to fix the problem.
2020-04-05;Female;52;Austria;I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. Missing the sanitize option is disappointing as I need it for baby clotehs. Missing the sanitize option is disappointing as I need it for baby clotehs. The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity.
2020-10-17;Female;37;Austria;The customer servce rep seemed uninterested and couldn't solve my issue. I had to call multiple times because the service team kept transferring me. The support servce was slow and unhelpful, I waited days for a response.
2020-10-29;Female;28;Switzerland;Given its performance and reliability, the price is very reasonable and good value. I feel the cost is justified given the premium features included. Considering the energy savings, the price point is quite attractive. Considering the energy savings, the price point is quite attractive. I feel the cost is justified given the premium features included.
2022-08-17;Female;72;Switzerland;I guess the performance is average as it gets the job done without issues. I guess the performance is average as it gets the job done without issues. It rinses fine but sometimes I still find detergent residue on my clotehs. I guess the performance is average as it gets the job done without issues. It rinses fine but sometimes I still find detergent residue on my clotehs. It rinses fine but sometimes I still find detergent residue on my clotehs. The wash cycle works okay but nothing special to write home about.
2019-11-17;Female;49;Czech Republic;It rinses fine but sometimes I still find detergent residue on my clotehs. The wash cycle works okay but nothing special to write home about. The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues. The wash cycle works okay but nothing special to write home about.
2023-06-10;Male;44;Czech Republic;The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The spin cycle is noisy and shakes violently, which is very concerning. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule.
2019-07-22;Male;56;Germany;The spin cycle is noisy and shakes violently, which is very concerning. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. It leaks water frequently, making the laundry area a mess every time I run it. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule.
2019-07-28;Male;40;Switzerland;The washer is too expensive for the features it offers, feels overpriced. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. The cost doesn't match the quality, I expected more at this price. The cost doesn't match the quality, I expected more at this price.
2022-07-20;Female;34;Poland;The support servce was slow and unhelpful, I waited days for a response. The support servce was slow and unhelpful, I waited days for a response. I had to call multiple times because the service team kept transferring me. The support servce was slow and unhelpful, I waited days for a response. I had to call multiple times because the service team kept transferring me. The support servce was slow and unhelpful, I waited days for a response.
2022-07-08;Male;57;Germany;
2019-10-09;Male;46;Germany;The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues. The wash cycle works okay but nothing special to write home about. It rinses fine but sometimes I still find detergent residue on my clotehs. It rinses fine but sometimes I still find detergent residue on my clotehs. The wash cycle works okay but nothing special to write home about. It rinses fine but sometimes I still find detergent residue on my clotehs.
2020-09-11;Female;65;Czech Republic;The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all. This machne's color is dull and makes it look cheap.
2024-07-17;Female;47;Germany;I got a helpful reply from the support team quickly, very professional. I got a helpful reply from the support team quickly, very professional. Service team was accommodating and provided clear instructions to fix the problem. I got a helpful reply from the support team quickly, very professional. Service team was accommodating and provided clear instructions to fix the problem. I got a helpful reply from the support team quickly, very professional. I got a helpful reply from the support team quickly, very professional.
2024-06-07;Female;39;Austria;The cycle presets are okay but sometimes I have to manually tweak tehm. The cycle presets are okay but sometimes I have to manually tweak tehm. I find the delay timer feature adequate but not very intuitive.
2023-05-15;Male;50;Austria;
2020-08-13;Female;27;Czech Republic;Service response was average and lacked detailed explanations. Service response was average and lacked detailed explanations. The customer servce was okay but took some time to get back to me. Support team was adequate, neitehr exceptionally good nor bad. The customer servce was okay but took some time to get back to me. Service response was average and lacked detailed explanations. The customer servce was okay but took some time to get back to me.
2023-01-21;Female;43;Czech Republic;
2019-06-15;Female;36;Germany;I find the delay timer feature adequate but not very intuitive. The temperature control feature is fine but could use more granular settings. The cycle presets are okay but sometimes I have to manually tweak tehm. The temperature control feature is fine but could use more granular settings. I find the delay timer feature adequate but not very intuitive. I find the delay timer feature adequate but not very intuitive.
2024-04-04;Male;55;Austria;Service team was accommodating and provided clear instructions to fix the problem. I got a helpful reply from the support team quickly, very professional. The customer servce was extremely responsive and resolved my issue within hours. The customer servce was extremely responsive and resolved my issue within hours. Service team was accommodating and provided clear instructions to fix the problem. I got a helpful reply from the support team quickly, very professional.
2023-10-16;Male;36;Austria;
2023-12-26;Female;70;Germany;The eco mode saves so much water and energy, making laundry days more sustainable. I really enjoy the quick wash feature for those last minute clothing emergencies. The eco mode saves so much water and energy, making laundry days more sustainable. The delayed start option is super convenient for busy mornings. The delayed start option is super convenient for busy mornings. I really enjoy the quick wash feature for those last minute clothing emergencies.
2025-04-26;Female;43;Switzerland;I feel the cost is justified given the premium features included. Given its performance and reliability, the price is very reasonable and good value. Given its performance and reliability, the price is very reasonable and good value.
2020-05-21;Male;49;Switzerland;I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. The absence of an app integration feature makes it inconvenient to control remotely.
2021-09-30;Female;40;Austria;The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely. The absence of an app integration feature makes it inconvenient to control remotely.
2021-02-27;Female;32;Czech Republic;
